filing_id,owner_asset,owner_asset_type,ticker,transaction_type,transaction_date,filing_date,amount_min,amount_max,amount_actual
20020106,Alphabet Inc. - Class C Capital Stock (gOOg) [OP],OP,GOOG,P,12/17/2021,12/17/2021,500001.0,1000000.0,
20020106,"Micron Technology, Inc. (Mu) [OP]",OP,MU,P,12/21/2021,12/21/2021,250001.0,500000.0,
20020106,"REOF XX, llC [AB]",AB,,P,12/22/2021,12/22/2021,50001.0,100000.0,
20020106,Roblox Corporation Class A (RBlX) [OP],OP,RBLX,P,12/20/2021,12/20/2021,250001.0,500000.0,
20020106,Salesforce.com Inc (CRM) [OP],OP,CRM,P,12/20/2021,12/20/2021,500001.0,1000000.0,
20020106,Salesforce.com Inc (CRM) [OP],OP,CRM,P,12/20/2021,12/20/2021,100001.0,250000.0,
20020106,Walt Disney Company (DIS) [OP],OP,DIS,P,12/17/2021,12/17/2021,100001.0,250000.0,
20018011,AllianceBernstein Holding l.P. units (AB) [ST],ST,AB,P,12/22/2020,12/22/2020,500001.0,1000000.0,
20018011,Apple Inc. (AAPl) [OP],OP,AAPL,P,12/22/2020,12/22/2020,250001.0,500000.0,
20018011,"Tesla, Inc. (TSlA) [OP]",OP,TSLA,P,12/22/2020,12/22/2020,500001.0,1000000.0,
20018011,Walt Disney Company (DIS) [OP],OP,DIS,P,12/22/2020,12/22/2020,500001.0,1000000.0,
20018539,AllianceBernstein Holding L.P. Units (AB) [OL],OL,AB,P,12/22/2020,12/22/2020,500001.0,1000000.0,
20018539,AllianceBernstein Holding L.P. Units (AB) [OL],OL,AB,P,02/18/2021,02/18/2021,500001.0,1000000.0,
20018539,AllianceBernstein Holding L.P. Units (AB) [OL],OL,AB,P,02/23/2021,02/23/2021,500001.0,1000000.0,
20018539,Microsoft Corporation (MSFT) [ST],ST,MSFT,P,03/19/2021,03/19/2021,1000001.0,5000000.0,
20018539,Microsoft Corporation (MSFT) [ST],ST,MSFT,P,03/19/2021,03/19/2021,1000001.0,5000000.0,
20018539,Roblox Corporation [OT],OT,,P,03/10/2021,03/10/2021,500001.0,1000000.0,
20019004,Alphabet Inc. - Class A (gOOgl) [ST],ST,GOOGL,P,06/18/2021,06/18/2021,1000001.0,5000000.0,
20019004,"Amazon.com, Inc. (AMZN) [OP]",OP,AMZN,P,05/21/2021,05/21/2021,500001.0,1000000.0,
20019004,Apple Inc. (AAPl) [OP],OP,AAPL,P,05/21/2021,05/21/2021,100001.0,250000.0,
20019004,NVIDIA Corporation (NVDA) [OP] P,OP,NVDA,P,06/03/2021,06/03/2021,1000001.0,5000000.0,
20019331,NVIDIA Corporation (NVDA) [ST] P,ST,NVDA,P,07/23/2021,07/23/2021,250001.0,500000.0,
20019331,NVIDIA Corporation (NVDA) [OP] P,OP,NVDA,P,07/23/2021,07/23/2021,500001.0,1000000.0,
20019331,"REOF XXII, llC [AB]",AB,,P,07/13/2021,07/13/2021,250001.0,500000.0,
20019331,"Slack Technologies, Inc. Class A (WORK) [ST]",ST,WORK,S,07/22/2021,07/22/2021,250001.0,500000.0,
20018355,AllianceBernstein Holding l.P. units (AB) [ST],ST,AB,P,02/18/2021,02/18/2021,500001.0,1000000.0,
20018355,AllianceBernstein Holding l.P. units (AB) [ST],ST,AB,P,02/23/2021,02/23/2021,500001.0,1000000.0,
